item_index,aae_text,sentiment_a1,sentiment_a2,sentiment_a3,golden_sentiment,resolution_method,vote_count,all_agree
1,Why I even attempted to do my hair this morning is beyond me,neutral,neutral,negative,neutral,majority,2,False
2,Ohhh. So sleepy. And I still have discussion question to do. Fml,negative,negative,negative,negative,majority,3,True
3,ok. I didnt send you off the last time. Mfs told me everyhing was good. Then that shit happened so um.,negative,neutral,negative,negative,majority,2,False
4,I can be yo bestfriend fuck me ova den yu dead to me,negative,negative,negative,negative,majority,3,True
5,"yup, take the phone back. We ain't got time for this foolishness!",negative,negative,negative,negative,majority,3,True
6,You aint a real nigga if you aint never ate a bowl of top ramen noddles!! Real shit,positive,positive,neutral,positive,majority,2,False
7,Bitches thought it was cuz I was on crutches TAHHHH BITCH U WILL STILL GET YO ASS BEAT I beating tht kenna bitch ass I got to bro maneee,negative,negative,negative,negative,majority,3,True
8,they need to get you the ball more. Next year you better hope y'all don't have the same QB lol,positive,neutral,negative,UNRESOLVED,tie,1,False
9,Fuq whid my bro Ice God new shyt real shyt (pid),positive,positive,neutral,positive,majority,2,False
10,"Tryna find a bad bitch that tells no lies,chance of that is slim to none",neutral,negative,neutral,neutral,majority,2,False
11,"I guess it's No Pull Out"" season. Almost every chick on Facebook is pregnant.",neutral,negative,neutral,neutral,majority,2,False
12,im done witchu..i cant no more..i just died..cant feel my ribs,positive,positive,negative,positive,majority,2,False
13,"Between /Trinity and on continuous play, I haven't listened to the radio all week. Thanks for GOOD Music!",positive,positive,positive,positive,majority,3,True
14,I've been on twitter since 2009 and today January 30 2013 I finally reached 1000 tweets lol I guess I'm still a newbie lol twitter virgin,positive,positive,neutral,positive,majority,2,False
15,Yuh tellin me Tah go harder go harder Yuh tellin me Tah go deeper go deeper i feel yo legs gettin weaker gettin weaker...!,positive,positive,neutral,positive,majority,2,False
16,Yu kno good as well yu dont want no problems like that,negative,negative,negative,negative,majority,3,True
17,I closed fist punched sydni ass. Legit almost pushed her wig back.,positive,negative,negative,negative,majority,2,False
18,Well tht convo was....????? Anywho time to get ready for work!!!!!,positive,neutral,neutral,neutral,majority,2,False
19,I don't understand how some ppl get their positions and don't know that you can't unlock a door that's not lock,negative,neutral,negative,negative,majority,2,False
20,Dat bxtch can qet it she ain't makein no noise i fight her monkey looking asz fa u fuck do she mean .....,negative,negative,negative,negative,majority,3,True
21,"Once you &' your ex brake up , they get to Shit on ya",negative,negative,neutral,negative,majority,2,False
22,"Hoe Told You She Ain't Fuck Me?nMan, I Fucked That Bitch.",negative,neutral,neutral,neutral,majority,2,False
23,If I had a baby daddy he would probably be richer than a lot of you niggas,negative,negative,positive,negative,majority,2,False
24,I be damned if my ol'lady a say that. me doing me have nun to do with you and school. personal life too!,negative,neutral,negative,negative,majority,2,False
25,I wonder how much pussy Jeremy got after they won da Sec championship lol,positive,positive,neutral,positive,majority,2,False
26,"Music flow in the morning , don't know what I would do without music ..",positive,positive,positive,positive,majority,3,True
27,Stayed at work instead of leaving because the storm I kno by 6 it will be gone,neutral,neutral,neutral,neutral,majority,3,True
28,"you already know what time it is,reach up in the dresser where the ........ alllllll nighttttt.",positive,positive,neutral,positive,majority,2,False
29,Ion be wanting to deal wit Bullshit so ion deal wit ppl nomo,negative,negative,neutral,negative,majority,2,False
30,Just Woke Up & Laneisha Wasn't In The House .. Tf She Go ?,neutral,negative,neutral,neutral,majority,2,False
31,bruh. I'm so glad I don't have to wait till Wednesday or Thursday either.,positive,positive,positive,positive,majority,3,True
32,I don't even be claiming pony anymore and I was born there and lived around there for 9 years.... Everybody from there now,neutral,neutral,negative,neutral,majority,2,False
33,You just want the dick like the rest of the hoes!!,negative,negative,negative,negative,majority,3,True
34,Idgaf....I know what was said lol...nd she the one who fuckd up but she was thick.....mm mmm mmmmm.,negative,positive,neutral,UNRESOLVED,tie,1,False
35,"If I get mad at you, That means I still care. Worry when I don't get mad.",positive,negative,negative,negative,majority,2,False
36,Shut the fucc up damn niggas kills me dnt remba shyt u done for them ficf,negative,negative,negative,negative,majority,3,True
37,Had a GREAT Christmas because my daughter was HAPPY MERRY CHRISTMAS AGAIN HAVE A GREAT NIGHT!!!,positive,positive,positive,positive,majority,3,True
38,tamar braxton is my gurl ! i love dttt ugly bitch so much,positive,positive,positive,positive,majority,3,True
39,I'm in the mood to be irritating. And Gary you are 1st on my list.,negative,negative,neutral,negative,majority,2,False
40,Then when I asked you what's wrong an you can't answer me,negative,neutral,neutral,neutral,majority,2,False
41,"U know how they Do, how they act see U with another Nigga then they want chu bak",negative,neutral,neutral,neutral,majority,2,False
42,Our deepest fear is not that we are inadequate.our deepest fear is that we are powerful beyond measure.,positive,positive,neutral,positive,majority,2,False
43,I've made some great connections... Didn't know who I was bound to,positive,positive,neutral,positive,majority,2,False
44,very we talking about a damn phone call. I don't smoke,negative,neutral,negative,negative,majority,2,False
45,Females Be Hating On Me & Ion Even Pay Them Hoes Not Attention #MadAssGirls,negative,neutral,negative,negative,majority,2,False
46,The Clippers let to many players play. That is gone be they downfall,neutral,negative,neutral,neutral,majority,2,False
47,Everybody wanna be a hustler but scared of wat comes wit it smh streets ain't for everybody dats y dey made pavements,neutral,neutral,neutral,neutral,majority,3,True
48,Wow!! Told me to don't count on it smh I am pissed lol,negative,negative,negative,negative,majority,3,True
49,Germany was a great experience gained another family in my teammates and coaches ... They had my back on and off the field,positive,positive,positive,positive,majority,3,True
50,Something wrong with me my body keep shaking it's been like this since last Saturday,neutral,negative,negative,negative,majority,2,False
51,I swear yo if we get this ok on the bowl game shit gonna get real dark n scary fast for whoever we play I promise!,positive,positive,positive,positive,majority,3,True
52,sent you email. We hope to see you at: Ant Jones Celebrity A&R for Warnere Bros presents The launching ROCK OUT CELEBRIYY INC.,positive,positive,positive,positive,majority,3,True
53,Guess they don't know that they're basically promoting child pornography smh,negative,negative,negative,negative,majority,3,True
54,"Lol da way my name fly around I'm no good .. Ion give a fuxk doe , fuxk erBody",negative,negative,negative,negative,majority,3,True
55,hold up.. jah in thr middle:-).ass all in mi face,positive,neutral,positive,positive,majority,2,False
56,"Honestly I Dont Know In Who Or What To Believe In Anymore .. Maybe I Should Just Move On And Let him Be Happy .."" 0.773076923077 0.0261538461538 0.00230769230769 0.198461538462 306142677051777024 Mon Feb 25 20:44:36 +0000 2013",negative,neutral,neutral,neutral,majority,2,False
57,"I put my head down & cry , cause den Ian know wat death mean",negative,negative,negative,negative,majority,3,True
58,I'm boutta lamp on this couch kus I'm to lazy to move,neutral,neutral,neutral,neutral,majority,3,True
59,"2-0 SINCE JERRY BUSS PASSED DAT ONE FOR U SIR RIP""LAKERS WIN""!!!!!",positive,positive,positive,positive,majority,3,True
60,I see how ive used my classes to better my life. I remember complaining and ruminating don't help they can make things worse.,positive,neutral,positive,positive,majority,2,False
61,"Ok thats was my only tweet for today,Back to work",neutral,neutral,neutral,neutral,majority,3,True
62,Was introduced to the game many different ways && I learned it super fast !,positive,positive,positive,positive,majority,3,True
63,Shiit fuck u and dem niggas too whoever said the shit since u wanna kover for em !,negative,negative,negative,negative,majority,3,True
64,Loyola Homecoming this Saturdayn7-12 10 dollars for Boys 5 dollars for GirlsnIcewear Vezzo will be there from 9-10n#Retweet,positive,neutral,neutral,neutral,majority,2,False
65,ahwww shxt . You in yo feelings ? Want me to help u get out ?,positive,neutral,positive,positive,majority,2,False
66,I Don't Fucking Like When PEOPLE Tell Me Shit Just To Get By.....,negative,negative,negative,negative,majority,3,True
67,"Please tell me what song you think I should sing. I'm sorry that I cat post personal videos right now, but I'll try to when I am able to!",positive,positive,neutral,positive,majority,2,False
68,you use to be that nigga boy what happen to ya,negative,negative,negative,negative,majority,3,True
69,I beat Pook ass then I made him take a nap,negative,negative,negative,negative,majority,3,True
70,nooo dhats too hard now! Before we was scared n ddnt wnt to bt NOW..it juss cnt happen cuz we cnt!!,negative,negative,negative,negative,majority,3,True
71,Lmaoooo man when that girl fell at the game today was to fuckin funny,negative,positive,positive,positive,majority,2,False
72,": Soon As Jasmine Walked In The Class She Got 2 Cheating Off Me #OnEverything"" lmfaooo . Why is u lienn ?? You too damn silly.",positive,negative,positive,positive,majority,2,False
73,I gotta change my password cause that shit too simple #OnGod,positive,neutral,neutral,neutral,majority,2,False
74,"Aye we dnt Gt beef wit da blocc , we Gt beef wit da fake blocc",negative,negative,negative,negative,majority,3,True
75,I don't no how much loot I spent all I no is that I only got debit lmao FUK,negative,negative,negative,negative,majority,3,True
76,Who want to go to the soccer game with me ???#JSU,positive,positive,neutral,positive,majority,2,False
77,I caught Markell slipping I wish I could put this picture up Lmmfao,negative,positive,positive,positive,majority,2,False
78,But I do owe her like 12 dollars just cause Ian come home.,neutral,neutral,neutral,neutral,majority,3,True
79,I really hate waiting on ppl this is why i plan shit !!!,negative,negative,negative,negative,majority,3,True
80,They say the good comes to those who wait I don't believe that bullshit,negative,negative,negative,negative,majority,3,True
81,it did all of that to you my body is impeccable,positive,positive,positive,positive,majority,3,True
82,I can't wait until Robin is reunited with her husband n daughter! #GH50,positive,positive,positive,positive,majority,3,True
83,It fills awesome outside nd im stuck in the house WTF!!!!!!????,negative,negative,negative,negative,majority,3,True
84,Text me in the morning then... : naw... Im just getting sleepy ..,neutral,neutral,neutral,neutral,majority,3,True
85,"Funny the main person thinking it aint about them...really it is tho, I know guys who just did what they had to do to bone.",negative,negative,neutral,negative,majority,2,False
86,My niece den kicked me in my stomach lik 6 times dis y I don't let ppl sleep in my bed,negative,negative,neutral,negative,majority,2,False
87,I can't get over YOU' we don't wanna never end because we became the best of friends,positive,positive,positive,positive,majority,3,True
88,"Okay people, get it right will you? It's Saint Paddy's Day not Saint Patty's Day. #SaintPaddy",neutral,neutral,neutral,neutral,majority,3,True
89,Some People Can't Help They First Love I Know Mines Is Here To Stay nn2.20..11,positive,positive,positive,positive,majority,3,True
90,ohh Yeah I already know I ain't trippin the best man win then after the game it's all brotherly love,positive,positive,positive,positive,majority,3,True
91,First off u shouldn't have apologized fa shit cus u ain't disrespect her house Rasheeda came in yo face,negative,neutral,negative,negative,majority,2,False
92,I ain't gone lie but i feel like ballin right now,positive,neutral,neutral,neutral,majority,2,False
93,Oooh I swear ill never leave yhu ! Yu don't a lot of money I'm ready come and pick me up,positive,positive,positive,positive,majority,3,True
94,"Playin 2k13 & i told my brother i want ray lewis , on the miami heats .... lhhhhhh DROVE",positive,positive,negative,positive,majority,2,False
95,aint nothing wrong with balancing a social life & being a mother,positive,neutral,neutral,neutral,majority,2,False
96,Told you niggas do not fuck wit us.. Hope you niggas do not fuck wit us,negative,neutral,negative,negative,majority,2,False
97,The oldest people look the youngest and the youngest people look the oldest,neutral,neutral,neutral,neutral,majority,3,True
98,"bitch if i woulda said come over n ima take a nap like you did ,you woulda said no",negative,negative,negative,negative,majority,3,True
99,"Niggaz be calling my phone like, yo primo did you F__k ______ lol. I be like nah nigga I didn't hit that. Lol",neutral,positive,positive,positive,majority,2,False
100,y u still writin me gtfo den and go tawk to dem fuck niggas u been fuckin wit,negative,negative,negative,negative,majority,3,True
